Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
327,Josh Gordon,NE,WR,9,GB,16,23,6900,11.32
327,Alshon Jeffery,PHI,WR,10,DAL,3,3,7300,11.32
329,Josh Gordon,NE,WR,14,MIA,25,13,6700,11.31
330,Marvin Jones,DET,WR,1,NYJ,26,22,7500,11.29
331,Calvin Ridley,ATL,WR,5,PIT,30,31,6800,11.28
331,Marvin Jones,DET,WR,9,MIN,11,3,6500,11.28
333,Marvin Jones,DET,WR,5,GB,8,16,6500,11.26
333,Will Fuller,HOU,WR,5,DAL,6,8,7600,11.26
333,Robert Woods,LAR,WR,4,MIN,14,5,7000,11.26
336,John Brown,BAL,WR,5,CLE,18,22,6200,11.25
336,Kenny Golladay,DET,WR,8,SEA,4,10,6600,11.25
338,Will Fuller,HOU,WR,3,NYG,4,6,7200,11.23
338,T.Y. Hilton,IND,WR,7,BUF,6,2,7300,11.23
340,Alshon Jeffery,PHI,WR,5,MIN,24,25,6800,11.2
341,Larry Fitzgerald,ARI,WR,11,OAK,29,22,5900,11.19
342,Jarvis Landry,CLE,WR,15,DEN,20,13,7200,11.18
342,Adam Humphries,TB,WR,14,NO,17,32,6500,11.18
344,Will Fuller,HOU,WR,8,MIA,22,9,6200,11.17
345,Jarvis Landry,CLE,WR,12,CIN,32,25,6100,11.15
345,Jarvis Landry,CLE,WR,1,PIT,6,12,6600,11.15
347,Tyler Lockett,SEA,WR,16,KC,31,17,6600,11.12
347,Emmanuel Sanders,DEN,WR,12,PIT,12,11,6900,11.12
349,Michael Crabtree,BAL,WR,7,NO,27,32,6600,11.11
350,Amari Cooper,OAK,WR,1,LAR,14,10,7400,11.09
351,Doug Baldwin,SEA,WR,1,DEN,9,4,7500,11.07
352,Tyler Lockett,SEA,WR,15,SF,25,28,6700,11.05
352,Tyler Lockett,SEA,WR,13,SF,23,25,6700,11.05
354,John Brown,BAL,WR,7,NO,27,32,6500,11.04
354,Chris Hogan,NE,WR,3,DET,25,14,6200,11.04
356,Chris Godwin,TB,WR,14,NO,17,32,5600,11.03
357,Kenny Golladay,DET,WR,4,DAL,4,2,5800,11.01
358,John Brown,BAL,WR,8,CAR,15,13,6700,10.99
359,Devin Funchess,CAR,WR,11,DET,25,18,5700,10.95
359,Kenny Golladay,DET,WR,9,MIN,11,3,6200,10.95
359,Cooper Kupp,LAR,WR,4,MIN,14,5,6300,10.95
362,Allen Robinson,CHI,WR,2,SEA,31,30,6500,10.92
362,Amari Cooper,OAK,WR,4,CLE,7,11,6600,10.92
364,Marquez Valdes-Scantling,GB,WR,11,SEA,9,20,5300,10.88
365,Will Fuller,HOU,WR,6,BUF,11,3,7300,10.82
365,Brandin Cooks,LAR,WR,1,OAK,25,17,7600,10.82
365,Kenny Golladay,DET,WR,3,NE,24,25,5800,10.82
365,Marvin Jones,DET,WR,10,CHI,4,16,6200,10.82
365,Kenny Golladay,DET,WR,16,MIN,5,2,7100,10.82
365,Sterling Shepard,NYG,WR,11,TB,31,31,6300,10.82
371,DeSean Jackson,TB,WR,6,ATL,30,29,6500,10.81
371,Alshon Jeffery,PHI,WR,12,NYG,19,13,7200,10.81
373,Kenny Golladay,DET,WR,15,BUF,3,2,6800,10.8
374,Doug Baldwin,SEA,WR,8,DET,22,9,6400,10.78
375,Tyler Boyd,CIN,WR,13,DEN,20,16,7100,10.76
376,Demaryius Thomas,DEN,WR,3,BAL,6,16,6700,10.74
377,Devin Funchess,CAR,WR,7,PHI,9,25,6400,10.73
378,Marvin Jones,DET,WR,2,SF,17,17,6800,10.71
378,Michael Crabtree,BAL,WR,4,PIT,30,31,6400,10.71
380,John Brown,BAL,WR,6,TEN,4,10,6300,10.69
381,Jarvis Landry,CLE,WR,16,CIN,32,19,6300,10.68
382,Sammy Watkins,KC,WR,9,CLE,23,24,6700,10.67
383,John Brown,BAL,WR,9,PIT,25,29,6400,10.65
383,Amari Cooper,DAL,WR,12,WAS,10,18,6500,10.65
385,Tyler Boyd,CIN,WR,14,LAC,7,9,7000,10.64
386,Jordy Nelson,OAK,WR,8,IND,16,8,5300,10.63
387,Marvin Jones,DET,WR,3,NE,24,25,6600,10.61
387,Corey Davis,TEN,WR,6,BAL,2,15,6300,10.61
389,Marvin Jones,DET,WR,7,MIA,16,11,6400,10.6
389,Nelson Agholor,PHI,WR,1,ATL,10,11,5900,10.6
389,Sterling Shepard,NYG,WR,14,WAS,12,27,5200,10.6
392,Doug Baldwin,SEA,WR,16,KC,31,17,6700,10.59
392,T.Y. Hilton,IND,WR,10,JAX,5,1,7000,10.59
394,Allen Robinson,CHI,WR,14,LAR,23,24,6500,10.58
395,Marquez Valdes-Scantling,GB,WR,10,MIA,23,11,5400,10.56
395,JuJu Smith-Schuster,PIT,WR,1,CLE,24,15,7000,10.56
